label,message
spam,Earn money from home easily. Join today!
spam,Exclusive rewards available. Register now!
ham,Did you finish your homework?
ham,Happy Birthday! Have a wonderful day!
ham,Good morning! Have a nice day.
ham,Can you help me with this code?
spam,Exclusive offer just for you. Buy 1 get 1 free!
spam,Exclusive rewards available. Register now!
ham,Let’s go for a movie this weekend.
ham,I’m feeling much better today.
ham,What time is the meeting tomorrow?
ham,Don’t forget to bring your charger.
spam,Don't miss this golden opportunity to earn cash rewards.
ham,The train is running 10 minutes late.
spam,Get your free mobile recharge coupon now.
ham,Don’t forget to bring your charger.
ham,What time is the meeting tomorrow?
ham,Let’s go for a movie this weekend.
spam,Special discount for premium users. Click here!
ham,I’ll call you once I reach home.
ham,What time is the meeting tomorrow?
ham,I’m waiting outside your office.
spam,Congratulations! You've won a free gift voucher. Click here to claim.
ham,I’m waiting outside your office.
ham,Please send me the meeting link.
ham,I’m feeling much better today.
spam,Limited seats available! Enroll today.
ham,Let’s go for a movie this weekend.
spam,Win ₹5000 instantly! Click this link now!
spam,Limited seats available! Enroll today.
spam,Congratulations! You've won a free gift voucher. Click here to claim.
spam,Congratulations! You've won a free gift voucher. Click here to claim.
ham,Let’s meet at 6 near the mall.
spam,Urgent! Your account has been suspended. Verify immediately.
spam,Limited time offer! Get 50% off today only!
spam,Hurry up! Offer ends today.
spam,Congratulations! You've won a free gift voucher. Click here to claim.
ham,The train is running 10 minutes late.
ham,I’m waiting outside your office.
ham,The train is running 10 minutes late.
spam,Limited time offer! Get 50% off today only!
spam,Win ₹5000 instantly! Click this link now!
spam,Exclusive offer just for you. Buy 1 get 1 free!
spam,Exclusive rewards available. Register now!
spam,Get your free mobile recharge coupon now.
spam,You have been selected for a cash prize. Visit our site to claim.
ham,Don’t forget to bring your charger.
ham,"Don’t worry, everything will be fine."
spam,Your credit card has won lucky draw. Confirm now.
spam,"You’ve won a lottery of ₹1,00,000. Contact us to claim."
ham,Please complete the report by today.
ham,"Hey, are we still on for dinner tonight?"
ham,I’ll call you once I reach home.
ham,Let’s go for a movie this weekend.
ham,Can you help me with this code?
ham,Can you help me with this code?
ham,I’ll call you once I reach home.
spam,Your credit card has won lucky draw. Confirm now.
ham,What time is the meeting tomorrow?
ham,Happy Birthday! Have a wonderful day!
ham,Can you pick up groceries on your way?
spam,Get your free mobile recharge coupon now.
ham,"Don’t worry, everything will be fine."
ham,Let’s plan a trip next month.
ham,"Don’t worry, everything will be fine."
ham,I’m waiting outside your office.
ham,Can you send me that file again?
ham,Happy Birthday! Have a wonderful day!
ham,I’m waiting outside your office.
ham,Let’s meet at 6 near the mall.
spam,You have received a gift card worth ₹1000.
ham,Did you finish your homework?
ham,Did you finish your homework?
ham,Let’s plan a trip next month.
ham,Please complete the report by today.
ham,I’ll call you once I reach home.
ham,I’m waiting outside your office.
ham,"Hey, are we still on for dinner tonight?"
ham,Let’s meet at 6 near the mall.
ham,Let’s meet at 6 near the mall.
ham,I will call you after lunch.
ham,Good morning! Have a nice day.
ham,I’m feeling much better today.
ham,Let’s meet at 6 near the mall.
spam,Final reminder: Claim your bonus now.
ham,Please send me the meeting link.
ham,What time is the meeting tomorrow?
ham,Let’s go for a movie this weekend.
spam,Final reminder: Claim your bonus now.
spam,Exclusive offer just for you. Buy 1 get 1 free!
ham,Good morning! Have a nice day.
spam,Exclusive rewards available. Register now!
spam,Urgent! Your account has been suspended. Verify immediately.
spam,Limited seats available! Enroll today.
ham,Can you pick up groceries on your way?
ham,I will call you after lunch.
spam,Urgent! Your account has been suspended. Verify immediately.
ham,Please send me the meeting link.
spam,Your loan is approved. Apply now to receive funds.
ham,Let’s go for a movie this weekend.
spam,Urgent! Your account has been suspended. Verify immediately.
spam,Claim your reward before it expires. Act now!
spam,Claim your reward before it expires. Act now!
spam,Your loan is approved. Apply now to receive funds.
spam,"You’ve won a lottery of ₹1,00,000. Contact us to claim."
ham,Let’s plan a trip next month.
spam,"You’ve won a lottery of ₹1,00,000. Contact us to claim."
spam,Win ₹5000 instantly! Click this link now!
